Code article;Qte Stocks;Qte En Cdes;DateJour;HeureJour;
0000000000001;13;0;26/12/2018;17h04;
0000000000002;6;0;26/12/2018;17h04;
0000000000003;7;0;26/12/2018;17h04;
0000000000004;0;0;26/12/2018;17h04;
0000000000006;3;0;26/12/2018;17h04;
0000000000007;10;0;26/12/2018;17h04;
0000000000008;0;0;26/12/2018;17h04;
0000000000009;19;0;26/12/2018;17h04;
0000000000014;0;0;26/12/2018;17h04;
0000000000015;-2;0;26/12/2018;17h04;
0000000000017;12;0;26/12/2018;17h04;
0000000000018;15;0;26/12/2018;17h04;
0000000000019;23;0;26/12/2018;17h04;
0000000000020;8;0;26/12/2018;17h04;
0000000000021;-3;0;26/12/2018;17h04;
0000000000022;4;0;26/12/2018;17h04;
0000000000023;2;0;26/12/2018;17h04;
0000000000024;69;0;26/12/2018;17h04;
0000000000031;0;0;26/12/2018;17h04;
0000000000032;0;0;26/12/2018;17h04;
0000000000035;0;0;26/12/2018;17h04;
0000000000039;-0.05;0;26/12/2018;17h04;
0000000000041;-1;0;26/12/2018;17h04;
0000000000042;3;0;26/12/2018;17h04;
0000000000043;0;6;26/12/2018;17h04;
0000000000044;4;0;26/12/2018;17h04;
0000000000045;1;0;26/12/2018;17h04;
0000000000046;1;0;26/12/2018;17h04;
0000000000048;7;0;26/12/2018;17h04;
0000000000049;4;0;26/12/2018;17h04;
0000000000050;0;0;26/12/2018;17h04;
0000000000051;-5;12;26/12/2018;17h04;
0000000000052;9;0;26/12/2018;17h04;
0000000000053;1;0;26/12/2018;17h04;
0000000000054;0;0;26/12/2018;17h04;
0000000000055;0;0;26/12/2018;17h04;
0000000000056;1;0;26/12/2018;17h04;
0000000000058;-0.415;0;26/12/2018;17h04;
0000000000059;0;0;26/12/2018;17h04;
0000000000061;29.406;0;26/12/2018;17h04;
0000000000064;36.539;0;26/12/2018;17h04;
0000000000066;0;0;26/12/2018;17h04;
0000000000067;59.215;0;26/12/2018;17h04;
0000000000068;0;0;26/12/2018;17h04;
0000000000069;2.836;0;26/12/2018;17h04;
0000000000073;1;0;26/12/2018;17h04;
0000000000074;116;0;26/12/2018;17h04;
0000000000077;0;0;26/12/2018;17h04;
0000000000078;0;0;26/12/2018;17h04;
0000000000079;0;0;26/12/2018;17h04;
0000000000080;6.586;0;26/12/2018;17h04;
0000000000086;-1;0;26/12/2018;17h04;
0000000000087;0;0;26/12/2018;17h04;
0000000000088;0;0;26/12/2018;17h04;
0000000000089;0;0;26/12/2018;17h04;
0000000000090;0;0;26/12/2018;17h04;
0000000000091;6.635;0;26/12/2018;17h04;
0000000000734;0;0;26/12/2018;17h04;
0000000000772;4.295;0;26/12/2018;17h04;
0000000000789;0;0;26/12/2018;17h04;
0000000007726;-4.045;0;26/12/2018;17h04;
0000000007962;0;0;26/12/2018;17h04;
0000000077262;13.715;0;26/12/2018;17h04;
0000000078948;0.585;0;26/12/2018;17h04;
0000000079624;0;0;26/12/2018;17h04;
0000000203442;4.686;0;26/12/2018;17h04;
0000000772624;-1;0;26/12/2018;17h04;
0000000789486;2.012;0;26/12/2018;17h04;
0000000796248;0;0;26/12/2018;17h04;
0000002218216;-3.636;0;26/12/2018;17h04;
0000002218253;1.216;0;26/12/2018;17h04;
0000002218294;0.579;0;26/12/2018;17h04;
0000002477010;0;0;26/12/2018;17h04;
0000002488209;3.47;0;26/12/2018;17h04;
0000002488211;4.135;0;26/12/2018;17h04;
0000002951995;4.707;0;26/12/2018;17h04;
0000002951998;0;0;26/12/2018;17h04;
0000007726248;0;0;26/12/2018;17h04;
0000007894862;3.663;0;26/12/2018;17h04;
0000008322190;7;0;26/12/2018;17h04;
0000008322191;2;0;26/12/2018;17h04;
0000008324109;10;0;26/12/2018;17h04;
0000008324110;18.965;0;26/12/2018;17h04;
0000008324111;12.298;0;26/12/2018;17h04;
0000008324112;-1.035;0;26/12/2018;17h04;
0000008324113;49.9;0;26/12/2018;17h04;
0000008324114;-6.54;0;26/12/2018;17h04;
0000008324115;10.4;0;26/12/2018;17h04;
0000008324116;10.06;0;26/12/2018;17h04;
0000008324117;-3.64;0;26/12/2018;17h04;
0000008324118;1.745;0;26/12/2018;17h04;
0000008324119;0.535;0;26/12/2018;17h04;
0000008324120;3.772;0;26/12/2018;17h04;
0000030043602;8;0;26/12/2018;17h04;
0000043906750;0;0;26/12/2018;17h04;
0000077262486;0;0;26/12/2018;17h04;
0000078948624;0;0;26/12/2018;17h04;
0000079624862;6.642;0;26/12/2018;17h04;
0000083241215;0.703;0;26/12/2018;17h04;
0000083241216;11.649;0;26/12/2018;17h04;
0000103414762;0;0;26/12/2018;17h04;
0000103909157;9;0;26/12/2018;17h04;
0000103909158;16;0;26/12/2018;17h04;
0000137088213;25;0;26/12/2018;17h04;
0000150324146;0;0;26/12/2018;17h04;
0000159839354;3;0;26/12/2018;17h04;
0000159839355;2;0;26/12/2018;17h04;
0000159839356;0;0;26/12/2018;17h04;
0000159839357;1;0;26/12/2018;17h04;
0000196171219;3.464;0;26/12/2018;17h04;
0000196171220;5.83;0;26/12/2018;17h04;
0000218198422;0;0;26/12/2018;17h04;
0000218198423;-3.34;0;26/12/2018;17h04;
0000218198424;-1;0;26/12/2018;17h04;
0000218198425;0;0;26/12/2018;17h04;
0000218198426;0;0;26/12/2018;17h04;
0000247846488;0;0;26/12/2018;17h04;
0000247846489;-7;0;26/12/2018;17h04;
0000270423640;7;0;26/12/2018;17h04;
0000270423641;15;0;26/12/2018;17h04;
0000270425856;14.507;0;26/12/2018;17h04;
0000270425858;5.239;0;26/12/2018;17h04;
0000304221946;23;0;26/12/2018;17h04;
0000304221947;23;0;26/12/2018;17h04;
0000304221948;14;0;26/12/2018;17h04;
0000304221949;1;0;26/12/2018;17h04;
0000304221950;12.521;0;26/12/2018;17h04;
0000306582920;5;0;26/12/2018;17h04;
0000441955185;5;0;26/12/2018;17h04;
0000441955186;0;0;26/12/2018;17h04;
0000441955187;7;0;26/12/2018;17h04;
0000441955188;12;0;26/12/2018;17h04;
0000441955189;1.586;0;26/12/2018;17h04;
0000441955191;0;0;26/12/2018;17h04;
0000441955192;0;0;26/12/2018;17h04;
0000441955193;7;0;26/12/2018;17h04;
0000441955194;4;0;26/12/2018;17h04;
0000441955199;0;0;26/12/2018;17h04;
0000441955201;70.03;0;26/12/2018;17h04;
0000441955202;36.545;0;26/12/2018;17h04;
0000441955203;10;0;26/12/2018;17h04;
0000441955204;0;0;26/12/2018;17h04;
0000441955205;31;0;26/12/2018;17h04;
0000441955207;0;0;26/12/2018;17h04;
0000441955208;0;0;26/12/2018;17h04;
0000441955216;5;0;26/12/2018;17h04;
0000441955226;0.635;0;26/12/2018;17h04;
0000443205548;0;0;26/12/2018;17h04;
0000443205549;0;0;26/12/2018;17h04;
0000570403163;-3.579;15;26/12/2018;17h04;
0000570403165;0;0;26/12/2018;17h04;
0000570403166;14;0;26/12/2018;17h04;
0000570403167;0;0;26/12/2018;17h04;
0000570403168;0;0;26/12/2018;17h04;
0000570403171;11;0;26/12/2018;17h04;
0000570403172;1;0;26/12/2018;17h04;
0000570403173;0;0;26/12/2018;17h04;
0000570403174;3;0;26/12/2018;17h04;
0000570403177;0;0;26/12/2018;17h04;
0000570403179;0;0;26/12/2018;17h04;
0000570403180;-22;0;26/12/2018;17h04;
0000570403181;-19;0;26/12/2018;17h04;
0000655821480;0;0;26/12/2018;17h04;
0000655821481;0;0;26/12/2018;17h04;
0000655821482;-0.085;0;26/12/2018;17h04;
0000655821483;0;0;26/12/2018;17h04;
0000655821484;0;0;26/12/2018;17h04;
0000655821485;0;0;26/12/2018;17h04;
0000655821486;1;0;26/12/2018;17h04;
0000655821487;0;0;26/12/2018;17h04;
0000655821488;14.428;0;26/12/2018;17h04;
0000655821848;-0.26;0;26/12/2018;17h04;
0000765246130;0;0;26/12/2018;17h04;
0000765246131;0;0;26/12/2018;17h04;
0000765246133;0;0;26/12/2018;17h04;
0000765246134;0;0;26/12/2018;17h04;
0000765246135;0;0;26/12/2018;17h04;
0000772624862;31;0;26/12/2018;17h04;
0000789486248;0;0;26/12/2018;17h04;
0000796248624;9.601;0;26/12/2018;17h04;
0000843009522;0;0;26/12/2018;17h04;
0000848602542;16;0;26/12/2018;17h04;
0000865163904;-5;0;26/12/2018;17h04;
0000865163905;0;0;26/12/2018;17h04;
0000865163914;0;0;26/12/2018;17h04;
0000865163917;2;0;26/12/2018;17h04;
0000865163918;1;0;26/12/2018;17h04;
0000865163922;7;0;26/12/2018;17h04;
0000865163923;13;0;26/12/2018;17h04;
0000865163924;-0.045;0;26/12/2018;17h04;
0000865163925;0;0;26/12/2018;17h04;
0000903281915;-1;0;26/12/2018;17h04;
0000903281916;-0.736;5;26/12/2018;17h04;
0000904920574;22;0;26/12/2018;17h04;
0000904920575;4.828;0;26/12/2018;17h04;
0000904920576;5.791;0;26/12/2018;17h04;
0000943453056;3;0;26/12/2018;17h04;
0000943453057;0;0;26/12/2018;17h04;
0000943453058;0;0;26/12/2018;17h04;
0000943453059;0;0;26/12/2018;17h04;
0000943453060;0;0;26/12/2018;17h04;
0000943453061;12;0;26/12/2018;17h04;
0000943453062;4;0;26/12/2018;17h04;
0000956497154;23;0;26/12/2018;17h04;
0000956497155;0;0;26/12/2018;17h04;
0000956497156;30;0;26/12/2018;17h04;
0000956497157;23;0;26/12/2018;17h04;
0000956497158;27;0;26/12/2018;17h04;
0000956497159;0;0;26/12/2018;17h04;
0000973251397;4;0;26/12/2018;17h04;
0000973251398;-5;0;26/12/2018;17h04;
0000973251400;-8;0;26/12/2018;17h04;
0000973251401;0;0;26/12/2018;17h04;
0000973251785;0;0;26/12/2018;17h04;
0000973251786;1.915;0;26/12/2018;17h04;
0000973251787;-1.49;0;26/12/2018;17h04;
0000973251788;0;0;26/12/2018;17h04;
0000973251789;14.255;0;26/12/2018;17h04;
0000973251791;0;0;26/12/2018;17h04;
0001046819329;5.341;0;26/12/2018;17h04;
0001046819330;3.081;0;26/12/2018;17h04;
0001046819331;-0.209;0;26/12/2018;17h04;
0001046819332;-0.86;0;26/12/2018;17h04;
0001046819333;3.611;0;26/12/2018;17h04;
0001046819334;11.885;0;26/12/2018;17h04;
0001046819335;1.901;0;26/12/2018;17h04;
0001046819336;5.596;0;26/12/2018;17h04;
0001046819338;8.124;0;26/12/2018;17h04;
0001046819339;10.69;0;26/12/2018;17h04;
0001046819340;3.402;0;26/12/2018;17h04;
0001046819342;3.51;0;26/12/2018;17h04;
0001073900565;5.51;0;26/12/2018;17h04;
0001073900566;2.21;0;26/12/2018;17h04;
0001073900567;3;0;26/12/2018;17h04;
0001073900568;0;0;26/12/2018;17h04;
0001081803898;-5;6;26/12/2018;17h04;
0001081803899;0;0;26/12/2018;17h04;
0001081803900;0;0;26/12/2018;17h04;
0001081803901;0;0;26/12/2018;17h04;
0001081803902;-6;9;26/12/2018;17h04;
0001081803903;-13;0;26/12/2018;17h04;
0001081803904;0;0;26/12/2018;17h04;
0001150902749;0;0;26/12/2018;17h04;
0001150902751;0;0;26/12/2018;17h04;
0001151597297;0;0;26/12/2018;17h04;
0001184633829;13;0;26/12/2018;17h04;
0001239087681;0;0;26/12/2018;17h04;
0001239087682;0;0;26/12/2018;17h04;
0001239087683;1;0;26/12/2018;17h04;
0001239087684;1;0;26/12/2018;17h04;
0001239087685;1;0;26/12/2018;17h04;
0001239087686;-9.98;0;26/12/2018;17h04;
0001239087687;0.235;0;26/12/2018;17h04;
0001239087688;-2.905;0;26/12/2018;17h04;
0001317475581;12.531;0;26/12/2018;17h04;
0001317475585;22.047;0;26/12/2018;17h04;
0001317475586;46.319;0;26/12/2018;17h04;
0001317475587;24.783;0;26/12/2018;17h04;
0001317475588;18.121;0;26/12/2018;17h04;
0001317475590;15.095;0;26/12/2018;17h04;
0001317475591;17.717;0;26/12/2018;17h04;
0001317475599;-2.376;0;26/12/2018;17h04;
0001317475600;-0.165;0;26/12/2018;17h04;
0001317475601;11.875;0;26/12/2018;17h04;
0001317475602;-0.182;0;26/12/2018;17h04;
0001317475603;-1;0;26/12/2018;17h04;
0001317475605;11;0;26/12/2018;17h04;
0001317475606;5;0;26/12/2018;17h04;
0001320644554;0;0;26/12/2018;17h04;
0001320644556;19;0;26/12/2018;17h04;
0001320644557;20;0;26/12/2018;17h04;
0001320644558;0;0;26/12/2018;17h04;
0001320644559;9;0;26/12/2018;17h04;
0001320644560;11;0;26/12/2018;17h04;
0001370157947;119;0;26/12/2018;17h04;
0001370157953;1.972;0;26/12/2018;17h04;
0001370157955;5.313;0;26/12/2018;17h04;
0001370157956;1.597;0;26/12/2018;17h04;
0001370157957;2.313;0;26/12/2018;17h04;
0001370157958;2.894;0;26/12/2018;17h04;
0001370157959;1.481;0;26/12/2018;17h04;
0001370157962;0;0;26/12/2018;17h04;
0001370157963;2;0;26/12/2018;17h04;
0001370157964;9;0;26/12/2018;17h04;
0001370157965;2;0;26/12/2018;17h04;
0001370157966;0;0;26/12/2018;17h04;
0001390097166;0;0;26/12/2018;17h04;
0001390097167;1.955;0;26/12/2018;17h04;
0001390097168;-0.485;0;26/12/2018;17h04;
0001390097169;0;0;26/12/2018;17h04;
0001390097170;0;0;26/12/2018;17h04;
0001390097328;0;0;26/12/2018;17h04;
0001390097329;0;0;26/12/2018;17h04;
0001466213504;-2;0;26/12/2018;17h04;
0001466213505;-10;0;26/12/2018;17h04;
0001466213507;0;0;26/12/2018;17h04;
0001466213508;1;0;26/12/2018;17h04;
0001466213509;0;0;26/12/2018;17h04;
0001466213510;0;0;26/12/2018;17h04;
0001466213511;0;0;26/12/2018;17h04;
0001466213513;0;0;26/12/2018;17h04;
0001466213514;0;0;26/12/2018;17h04;
0001466213515;0;0;26/12/2018;17h04;
0001466213516;0;0;26/12/2018;17h04;
0001466213517;0;0;26/12/2018;17h04;
0001509838396;4.763;0;26/12/2018;17h04;
0001509838398;8.682;0;26/12/2018;17h04;
0001509838399;2.865;0;26/12/2018;17h04;
0001509838400;6.987;0;26/12/2018;17h04;
0001509838401;-0.484;0;26/12/2018;17h04;
0001605859636;0;0;26/12/2018;17h04;
0001605859637;0;0;26/12/2018;17h04;
0001605859639;0;0;26/12/2018;17h04;
0001605859640;-4;0;26/12/2018;17h04;
0001605859641;0;0;26/12/2018;17h04;
0001605859642;1;0;26/12/2018;17h04;
0001605859643;21.95;0;26/12/2018;17h04;
0001605859644;0;0;26/12/2018;17h04;
0001605859645;0.925;0;26/12/2018;17h04;
0001605859646;3.46;0;26/12/2018;17h04;
0001605859647;6.665;0;26/12/2018;17h04;
0001605859649;0;0;26/12/2018;17h04;
0001605859650;0;0;26/12/2018;17h04;
0001605859651;0;0;26/12/2018;17h04;
0001605859652;-0.527;0;26/12/2018;17h04;
0001650476783;0.215;0;26/12/2018;17h04;
0001650476784;0;0;26/12/2018;17h04;
0001650476785;0;0;26/12/2018;17h04;
0001650476786;0;0;26/12/2018;17h04;
0001650476787;9.401;0;26/12/2018;17h04;
0001798726815;2.438;0;26/12/2018;17h04;
0001798726816;0;0;26/12/2018;17h04;
0001798726817;0;0;26/12/2018;17h04;
0001956929727;0;0;26/12/2018;17h04;
0001959594614;30.065;0;26/12/2018;17h04;
0001959594615;0.275;0;26/12/2018;17h04;
0001959594616;-1.455;0;26/12/2018;17h04;
0001959594617;12;0;26/12/2018;17h04;
0001959594618;14;0;26/12/2018;17h04;
0001959594619;13;0;26/12/2018;17h04;
0001961712223;-1;0;26/12/2018;17h04;
0001961712225;34;0;26/12/2018;17h04;
0002005796060;-1;0;26/12/2018;17h04;
0002005796061;4.71;0;26/12/2018;17h04;
0002005796062;1.99;0;26/12/2018;17h04;
0002027428777;0;0;26/12/2018;17h04;
0002027428778;0;0;26/12/2018;17h04;
0002027428780;2.011;0;26/12/2018;17h04;
0002027428783;16.241;0;26/12/2018;17h04;
0002027428784;0;0;26/12/2018;17h04;
0002027428785;30;0;26/12/2018;17h04;
0002145896192;4.66;0;26/12/2018;17h04;
0002965538635;-14.185;0;26/12/2018;17h04;
0004432055508;13;0;26/12/2018;17h04;
0006518975557;17;0;26/12/2018;17h04;
0006689624377;-1.201;0;26/12/2018;17h04;
0007078044400;0;0;26/12/2018;17h04;
0007267958747;5.585;0;26/12/2018;17h04;
0007296225476;15.565;0;26/12/2018;17h04;
0007894862486;11;0;26/12/2018;17h04;
0008430095238;4;0;26/12/2018;17h04;
0008486025432;16;0;26/12/2018;17h04;
0009031889776;-0.255;0;26/12/2018;17h04;
0009316730465;13.182;0;26/12/2018;17h04;
0009494855165;11;0;26/12/2018;17h04;
0009774568419;18;0;26/12/2018;17h04;
0009960092537;22.062;0;26/12/2018;17h04;
0009960092544;4.354;0;26/12/2018;17h04;
0010160661171;0;0;26/12/2018;17h04;
0010617363368;0;0;26/12/2018;17h04;
0010739005696;21.305;0;26/12/2018;17h04;
0010818039055;137;0;26/12/2018;17h04;
0011494804722;24;0;26/12/2018;17h04;
0011494804944;2.231;0;26/12/2018;17h04;
0011494805088;0;0;26/12/2018;17h04;
0011667192144;0;0;26/12/2018;17h04;
0012177097448;0;0;26/12/2018;17h04;
0012314498725;2.104;20;26/12/2018;17h04;
0012937091167;0;0;26/12/2018;17h04;
0013786076275;0;0;26/12/2018;17h04;
0014351115382;-165;0;26/12/2018;17h04;
0014726033792;17.204;0;26/12/2018;17h04;
0015118901927;0;0;26/12/2018;17h04;
0015468571887;0;0;26/12/2018;17h04;
0015707265805;0;0;26/12/2018;17h04;
0016013149971;0;0;26/12/2018;17h04;
0016028271889;0;0;26/12/2018;17h04;
0016524047704;-1.315;0;26/12/2018;17h04;
0017112972941;9.86;0;26/12/2018;17h04;
0017164561988;-38.93;0;26/12/2018;17h04;
0018022878705;5.015;0;26/12/2018;17h04;
0018411319055;19.881;0;26/12/2018;17h04;
0018896325381;-0.695;0;26/12/2018;17h04;
0019003102154;335;0;26/12/2018;17h04;
0019585203942;0;0;26/12/2018;17h04;
0019676109665;4.741;0;26/12/2018;17h04;
0020235748799;29;0;26/12/2018;17h04;
0020609672576;0;0;26/12/2018;17h04;
